id,type,text
"d9b19960-0d08-475e-b225-6b2009cd5ccf","History","uri"
"139b3d83-dc8f-47b0-9904-1baf9a503c43","History","uri"
"955370e6-53ee-4162-bdfb-e41fd500636b","History","uri"
"7a5b038e-a591-41c2-9a4b-6ac5ccb67702","History","uri"
"bf18eacf-0976-4d4a-a0e5-ef61f1dcaadb","History","uri"
"3fe84744-699a-479c-970e-b6beb1eb0e7a","History","uri"
"4219bb48-adfb-47c8-9bf8-9ed169c7f0ea","History","uri"
"ef16ec58-16e3-41db-a5cf-65af9571e281","History","uri"
"ade194c6-96c3-42a6-bb7c-73b1041a69ed","History","uri"
"15b22767-cf46-4aee-bd7f-856b13054f7c","History","uri"
"d6638d1e-6921-41ca-a6f4-109ebc51b4dc","History","uri"
"7a10d0c0-f653-40a7-9645-ce11d84a6aa0","History","uri"
"27a44592-9e32-4c46-8230-7f6531d0145a","History","uri"
"d6c5fafb-d15f-4ba0-931d-4e42760eb4f8","History","uri"
"4f9d4684-0809-4b96-a85c-72d7df2a6ac3","History","uri"
"9702371e-9e51-43be-a0e3-462fb0024858","History","uri"
"4b6b3ca2-58b7-4fe2-98e8-ce0d5d96f846","History","uri"
"8de6b942-d56f-4b3b-8c25-66cb8b61bc51","History","uri"
"3150d33b-51d6-4667-86b9-764f3f084138","History","uri"
"b9bc3535-04b2-46b7-b3ec-ebc418ec648d","History","uri"
"dbebffd8-4864-41b2-b57a-8552444739e5","History","uri"
"0d188130-d819-4976-bfdb-c0f84173f92c","History","uri"
"53299aef-85fd-4b55-a481-46950f96e9d8","History","uri"
"aeaf2bf0-cf4f-4b7a-8b12-9cfa7ecb0768","History","uri"
